station,date,bewd_i,bewd_ii,bewd_iii,bewm_i,bewm_ii,bewm_iii,bewm_mittel,bft6,bft8,cglo_j,dampf_i,dampf_ii,dampf_iii,dampf_mittel,dd32_i,dd32_ii,dd32_iii,erdb_i,erdb_ii,erdb_iii,ffx,gew,glatt,nebel,p_i,p_ii,p_iii,p_mittel,raureif,reif,rfb_i,rfb_ii,rfb_iii,rfb_mittel,rf_i,rf_ii,rf_iii,rf_mittel,rr,rr_i,rr_iii,rra_manu,rra_manu_i,rra_manu_iii,sh,sh_manu,sha_manu,shneu_manu,sicht_i,sicht_ii,sicht_iii,so_h,tau,tl_i,tl_ii,tl_iii,tlmax,tlmin,tl_mittel,tsmin,vvbft_i,vvbft_ii,vvbft_iii,vv_mittel,zeitx
1,2025-12-27,2.0,1.0,1.0,10.0,7.0,8.0,83.0,0,0,276.0,4.6,5.0,4.6,4.7,16.0,16.0,8.0,,,,4.2,0,,,938.6,935.2,933.0,935.6,,,,,,,95.0,91.0,97.0,94.0,,-1,-1,,,,0.0,,,,,,,,,-3,-1,-3,0,-3,-2,-2,1,1,1,1.1,2350.0
2,2025-12-27,1.0,0.0,,4.0,1.0,0.0,17.0,,,441.0,3.1,5.0,4.3,4.1,,12.0,16.0,3,1,3,,0,0,1,953.4,949.9,950.2,951.2,0,0,,,,,96.0,73.0,90.0,86.0,,-1,-1,,0,0,,-1.0,0,-1.0,10000.0,50000.0,30000.0,,0,-8,2,-3,3,-8,-3,-11,,1,1,,
3,2025-12-27,2.0,,,10.0,0.0,0.0,33.0,0,0,540.0,3.9,4.8,4.9,4.5,24.0,24.0,24.0,7,7,7,10.0,0,0,1,957.3,953.8,951.8,954.3,1,0,,,,,97.0,94.0,85.0,92.0,,-1,-1,,0,0,,6.0,3,-1.0,300.0,120000.0,20000.0,6,0,-5,-2,-1,-1,-6,-3,-5,1,2,2,2.1,2354.0
4,2025-12-27,,,,,,,,0,0,535.0,3.9,6.0,5.1,5.0,24.0,24.0,24.0,,,,9.0,0,,,998.5,995.9,995.3,996.6,,,,,,,100.0,77.0,92.0,90.0,,-1,-1,,,,,,,,,,,6,,-5,3,-1,3,-6,-1,-8,1,2,1,1.6,2202.0
5,2025-12-27,,,,0.0,,,,0,0,,4.1,4.8,4.2,4.4,4.0,12.0,0.0,3,,,8.6,0,0,0,940.9,938.6,939.5,939.7,0,0,,,,,89.0,59.0,83.0,77.0,,-1,-1,,,,,-1.0,0,-1.0,8000.0,,,7,0,-3,4,-2,5,-4,0,,1,1,0,0.7,733.0
6,2025-12-27,,,,,,,,0,0,94.0,4.4,3.4,3.6,3.8,4.0,24.0,24.0,,,,5.2,0,,,922.3,919.6,917.6,919.8,,,,,,,100.0,98.0,100.0,99.0,,-1,-1,,,,,,,,,,,0,,-4,-7,-6,-1,-7,-4,-5,1,1,1,1.1,945.0
7,2025-12-27,,,,,,,,0,0,498.0,3.1,4.4,3.9,3.8,12.0,16.0,16.0,,,,6.1,0,,,901.9,900.2,900.2,900.8,,,,,,,89.0,65.0,78.0,77.0,,-1,-1,,,,,,,,,,,4,,-7,2,-3,2,-7,-3,,1,1,1,1.1,2321.0
8,2025-12-27,,,,,,,,0,0,511.0,4.3,6.7,5.1,5.4,32.0,16.0,32.0,,,,3.2,0,,,996.7,992.9,990.8,993.5,,,,,,,96.0,77.0,97.0,90.0,,-1,-1,,,,,,,,,,,7,,-4,5,-2,5,-4,0,,1,1,1,1.1,1316.0
9,2025-12-27,,,,,,,,0,0,484.0,4.0,5.2,4.2,4.5,8.0,20.0,8.0,,,,3.8,0,,,965.2,962.7,964.0,964.0,,,,,,,93.0,69.0,88.0,83.0,,-1,-1,,,,,,,,,,,5,,-4,3,-3,4,-5,-1,-7,1,1,1,1.1,1145.0
10,2025-12-27,,,,,,,,0,0,514.0,3.1,5.7,4.1,4.3,28.0,12.0,0.0,,,,4.7,0,,,935.6,932.7,933.4,933.9,,,,,,,92.0,70.0,91.0,84.0,,-1,-1,,,,,,,,,,,6,,-7,4,-4,5,-7,-1,,1,1,0,0.7,950.0
